Observations,Number,Date,Date,Briefing,Special Issue,Commentary,Author 1,Author 2,Author 3,Author 4,Author 5,Author 6,Author 1 Affiliation,Author 2 Affiliation,Author 3 Affiliation,Author 4 Affiliation ,Author 5 Affiliation,Author 6 Affiliation,Author 1 Country,Author 2 Country,Author 3 Country,Author 4 Country,Author 5 Country,Author 6 Country,Journal,Journal Type,Country 1,Country 2,Country 3,Country 4,Country 1 Subregion,Country 2 Subregion,Region 1,Region 2,Region 3,Region 4,Non-African countries/continents/entities featured,Discipline,topics_domestic_politics,topics_international_relations,topics_society,topics_econ,topics: political systems,topics: constitutional issues,topics: justice/ judiciary,topics: legislatures,topics: policy,topics: governance,topics: security & conflict,topics: state/statehood,topics: foreign policy,topics: multilateral interventions,topics: regional issues,topics: UN,topics: land,topics: identity,topics: social sectors,topics: demography,topics: civil society,topics: inequality,topics: service sector,topics: development,topics: industry,topics: trade,topics: investment,topics: resources,topics: aid,topics: debt,topics: colonial legacy,topics: rulers,topics: neopatrimonialism,topics: authoritarianism,topics: democracy/democratization,topics: corruption,topics: rule of law,topics: military,topics: civil conflict,topics: genocide/ethnic violence,topics: citizenship,topics: sovereignty,topics: extra-continental FP,topics: intra-continental FP,topics: FP towards Africa,topics: conflict resolution & peace-building,topics: post-conflict & peace-keeping,topics: regional integration,topics: border issues,topics: regional organization,topics: land access,topics: urbanization,topics: land rights,topics: class,topics: race,topics: ethnicty/chieftancy,topics: sexual identity,topics: gender,topics: religion,topics: national identity/nationalism/patriotism,topics: health,topics: education,topics: public services,topics: age,topics: migration,topics: diaspora,topics: NGO,topics: social/popular movements,topics: human rights,topics: cell phones,topics: mining,topics: manufacturing,topics: agriculture,topics: donors,topics: development aid,topics: humanitarian aid,topics: media,topics: democratic reversal,topics: elections,topics: public opinion/polling,topics: parties,topics: coup,topics: insurgency,topics: AU,topics: Islam,topics: witchcraft/traditional religions,topics: Christianity,topics: HIV/AIDS,topics: immigration,topics: emigration,topics: refugees/IDP,topics: resource curse,topics: youth,topics: music,topics: other,methods: qualitative,methods: quantitative,methods: single case study,methods: multiple case studies,methods: formal model ,methods: statistical methods,methods: existing data set,methods: author's data set,methods: regression analysis,methods: interviews,School of Thought,Fieldwork,bibliography: country- specific (majority of sources = country-specific),bibliography: non-country specific (majority of articles = country-non-specific) 
"""The relationship between Kenneth Koma and the Botswana Democratic Party, 1965-2003""",11,5-Apr,Vol.104 Iss.415,0,0,0,Christian John Makgala,0,0,0,0,0,Univesrity of Botswana,0,0,0,0,0,Botswana,0,0,0,0,0,AA,africanist,Botswana,0,0,0,0,0,Southern,0,0,0,0,political science,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,one party rule,1,0,1,0,0,0,0,0,0,0,0,no,1,0
"""Briefing: Using opinion polls to evaluate Kenyan politics, March 2004-January 2005""",12,5-Apr,Vol.104 Iss.415,1,0,0,Daniel Branch,Nic Cheeseman ,0,0,0,0,"St. Peter's College, University of Oxford","St. Peter's College, University of Oxford",0,0,0,0,UK,UK,0,0,0,0,AA,africanist,Kenya,0,0,0,0,0,East,0,0,0,0,political science,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,no,,
"""The hidden costs of power-sharing: Reproducing insurgent violence in Africa""",13,5-Jul,Vol. 104 Iss. 416,0,0,0,Denis M. Tull,Andreas Mehler,0,0,0,0,Institute for International Affairs,Institute of African Affairs ,0,0,0,0,UK,Germany,0,0,0,0,AA,africanist,continental,0,0,0,0,0,continental ,0,0,0,0,political science,1,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,rational choice,no ,,
"""Let's stick together: Understanding Africa's secessionist deficit""",14,5-Jul,Vol. 104 Iss. 416,0,0,0,Pierre Englebert,Rebecca Hummel,0,0,0,0,Pomona College,Pomona College,0,0,0,0,USA,USA,0,0,0,0,AA,africanist,continental,0,0,0,0,0,continental ,0,0,0,0,political science,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,seccesionism ,1,1,1,0,0,1,0,1,1,0,rational choice,no,,
"""Diaspora and drug trafficking in West Africa: A case study of Ghana""",15,5-Jul,Vol. 104 Iss. 416,0,0,0,Emmanuel Akyeampong,0,0,0,0,0,Harvard University,0,0,0,0,0,USA,0,0,0,0,0,AA,africanist,Ghana,0,0,0,0,0,West,0,0,0,0,international relations,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drug-trafficking; crime; transnational issues,1,0,1,0,0,0,0,0,0,1,0,yes,,
"""Patronage politics, donor reforms, and regime consolidation in Uganda""",16,5-Jul,Vol. 104 Iss. 416,0,0,0,Andrew M. Mwenda,Roger Tangri,0,0,0,0,The Monitor,University of Botswana,0,0,0,0,Uganda,Botswana,0,0,0,0,AA,africanist,Uganda,0,0,0,0,0,East,0,0,0,0,political science,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,patronage ,1,0,1,0,0,0,0,0,0,0,0,no,,
"""Libya's foreign policy in flux""",17,5-Jul,Vol. 104 Iss. 416,0,0,0,Hussein Solomon,Gerrier Swart,0,0,0,0,University of Pretoria ,University of Pretoria,0,0,0,0,South Africa,South Africa,0,0,0,0,AA,africanist,Libya,0,0,0,0,0,North,0,0,0,0,international relations,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,no,,
"""Crime, conflict and politics in transition-era South Africa""",18,5-Jul,Vol. 104 Iss. 416,0,0,0,Gary Kynoch,0,0,0,0,0,Dalhousie University,0,0,0,0,0,Canada,0,0,0,0,0,AA,africanist,South Africa,0,0,0,0,0,Southern,0,0,0,0,political science,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,violent crime,1,0,1,0,0,0,0,0,0,1,0,yes,,
"""Briefing: The Zanzibar election""",19,5-Jul,Vol. 104 Iss. 416,1,0,0,Ben Rawlence,0,0,0,0,0,Royal African Society,0,0,0,0,0,UK,0,0,0,0,0,AA,africanist,Tanzania,0,0,0,0,0,West,0,0,0,0,political science,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,no,,
"""To fight or to farm? Agrarian dimensions of the Mano River conflicts (Liberia and Sierra Leone)",20,5-Oct,Vol. 104 Iss. 417,0,0,0,Paul Richards,0,0,0,0,0,Wageningen University,0,0,0,0,0,Netherlands,0,0,0,0,0,AA,africanist,Liberia,Sierra Leone,0,0,0,0,West,West,0,0,0,political science,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,no,,
"""South Africa's HIV/AIDS policy, 1994-2004: How can it be explained?""",21,5-Oct,Vol. 104 Iss. 417,0,0,0,Anthony Butler,0,0,0,0,0,University of Cape Town,0,0,0,0,0,South Africa,0,0,0,0,0,AA,africanist,South Africa,0,0,0,0,0,Southern,0,0,0,0,political science,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,poverty,1,0,1,0,0,0,0,0,0,0,0,no,,
"""Globalization, marginalization and contemporary social movements in South Africa""",22,5-Oct,Vol. 104 Iss. 417,0,0,0,Richard Ballard,Adam Habib,Imraan Volodia,Elke Zuern,0,0,University of KwaZulu-Natal,University of KwaZulu-Natal,University of KwaZulu-Natal,Sarah Lawrence College,0,0,South Africa,South Africa,South Africa,USA,0,0,AA,africanist,South Africa,0,0,0,0,0,Southern,0,0,0,0,political science,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,poverty,1,0,0,1,0,0,0,0,0,0,0,no ,,
"""The common african defence and security policy""",23,5-Oct,Vol. 104 Iss. 417,0,0,0,Omar A. Touray,0,0,0,0,0,independent scholar,0,0,0,0,0,Gambia,0,0,0,0,0,AA,africanist,continental,0,0,0,0,0,continental ,0,0,0,0,international relations,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,no,,
"""Briefing: The commission for Africa, Gleneagles, Brussels and beyond""",24,5-Oct,Vol. 104 Iss. 417,1,0,0,Penny Jackson,0,0,0,0,0,Royal African Society,0,0,0,0,0,UK,0,0,0,0,0,AA,africanist,continental,0,0,0,0,0,continental ,0,0,0,0,international relations,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,no,,
"""Can policy intervention beat the resource curse? Evidence from the Chad-Cameroon pipeline project""",25,6-Jan,Vol. 105 Iss. 418,0,0,0,Scott Pegg,0,0,0,0,0,Indiana University-Purdue University Indianapolis ,0,0,0,0,0,USA,0,0,0,0,0,AA,africanist,Chad,Cameroon,0,0,0,0,"Central, Sahel",Central,0,0,0,international relations,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,world bank ,1,0,1,0,0,0,0,0,0,0,0,no,,
"""On the limits of liberal peace: Chiefs and democratic decentralization in post-war Sierra Leone""",26,6-Jan,Vol. 105 Iss. 418,0,0,0,Richard Fanthorpe,0,0,0,0,0,University of Sussex,0,0,0,0,0,UK,0,0,0,0,0,AA,africanist,Sierra Leone,0,0,0,0,0,West,0,0,0,0,international relations,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,yes,,
"""'Power to Uhuru': Youth identity and generational politics in Kenya's 2002 elections""",27,6-Jan,Vol. 105 Iss. 418,0,0,0,Peter Mwangi Kagwanja,0,0,0,0,0,University of Pretoria ,0,0,0,0,0,South Africa,0,0,0,0,0,AA,africanist,Kenya,0,0,0,0,0,East,0,0,0,0,political science,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,yes,,
"""Islam in Mali in the neoliberal era""",28,6-Jan,Vol. 105 Iss. 418,0,0,0,Benajamin F. Soares,0,0,0,0,0,Afrika Studiecentrum,0,0,0,0,0,Netherlands,0,0,0,0,0,AA,africanist,Mali,0,0,0,0,0,"West, Sahel",0,0,0,0,political science,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,no ,,
"""The politics and ethnography of environmentalisms in Tanzania""",29,6-Jan,Vol. 105 Iss. 418,0,0,0,Dan Brockington,0,0,0,0,0,University of Manchester,0,0,0,0,0,UK,0,0,0,0,0,AA,africanist,Tanzania,0,0,0,0,0,East,0,0,0,0,political science,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,environmentalism,1,1,1,0,0,0,1,0,0,0,0,yes,,
"""Briefing: Burundi: A peaceful transition after a decade of war?""",30,6-Jan,Vol. 105 Iss. 418,1,0,0,Filip Reyntjens,0,0,0,0,0,University of Antwerp,0,0,0,0,0,Belgium,0,0,0,0,0,AA,africanist,Burundi,0,0,0,0,0,"Central, Great Lakes",0,0,0,0,political science,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,no,,
"""Discomfiture of democracy? The 2005 election crisis in Ethiopia and its aftermath""",31,6-Apr,Vol. 105 Iss. 419,0,0,0,J. Abbink,0,0,0,0,0,"African Studies Centre, Leiden and Vrije Universiteit ",0,0,0,0,0,Netherlands,0,0,0,0,0,AA,africanist,Ethiopia,0,0,0,0,0,"East, Horn",0,0,0,0,political science,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,no,,
